Date,Region,Category,Product,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Profit,Customer_Age,Customer_Rating,Payment_Method,Channel
2023-01-01,South,Furniture,Table,6,348.92,0,2929.7,766.72,30,4.5,Cash,Online
2023-01-01,Central,Food,Dairy,9,24.59,5,294.19,60.87,29,5.0,Credit Card,In-Store
2023-01-01,West,Furniture,Chair,6,262.08,15,1870.51,752.79,47,4.8,E-Wallet,Online
2023-01-02,East,Clothing,T-Shirt,6,54.2,5,432.41,181.3,21,4.8,Cash,In-Store
2023-01-02,North,Clothing,Shoes,8,57.4,0,642.74,266.93,39,3.9,E-Wallet,In-Store
2023-01-02,North,Electronics,Smartphone,5,503.12,0,3521.14,1421.85,28,3.5,Cash,Online
2023-01-03,North,Toys,Action Figure,7,39.97,10,352.48,112.05,45,3.9,Bank Transfer,In-Store
2023-01-03,Central,Furniture,Sofa,6,241.02,0,2024.48,417.44,46,3.4,E-Wallet,In-Store
2023-01-03,East,Electronics,Smartphone,7,477.77,10,4213.68,1275.24,49,4.9,Credit Card,In-Store
2023-01-04,West,Toys,Doll,6,50.43,0,423.61,135.27,49,4.1,Credit Card,Online
2023-01-04,North,Furniture,Shelf,6,361.81,15,2583.33,727.62,29,4.9,Credit Card,Online
2023-01-05,Central,Food,Dairy,5,30.32,20,169.76,73.25,37,3.0,Credit Card,In-Store
2023-01-05,West,Furniture,Shelf,5,359.26,20,2011.78,495.22,57,3.8,Cash,In-Store
2023-01-05,North,Clothing,T-Shirt,6,57.71,0,484.76,139.75,43,3.2,Bank Transfer,In-Store
2023-01-06,North,Clothing,T-Shirt,4,70.96,10,357.56,145.6,49,2.8,Cash,In-Store
2023-01-06,North,Food,Bakery,6,21.79,0,183.0,53.5,22,4.2,E-Wallet,In-Store
2023-01-06,South,Electronics,Headphones,8,507.99,15,4835.3,1455.17,50,3.2,Credit Card,Online
2023-01-07,East,Toys,Action Figure,4,44.83,0,250.97,108.87,18,3.7,Credit Card,Online
2023-01-07,South,Furniture,Sofa,1,243.84,15,290.06,111.17,18,3.4,E-Wallet,Online
2023-01-07,South,Clothing,Jeans,6,71.64,5,571.48,201.31,26,3.8,Credit Card,Online
2023-01-08,East,Electronics,Tablet,5,563.23,20,3152.08,1225.46,43,4.7,E-Wallet,Online
2023-01-08,North,Food,Bakery,2,23.34,10,58.79,22.88,45,3.3,Credit Card,Online
2023-01-09,South,Clothing,T-Shirt,6,72.37,5,576.94,176.98,27,3.7,E-Wallet,Online
2023-01-09,South,Food,Beverages,6,21.03,20,141.18,46.91,18,4.6,E-Wallet,In-Store
2023-01-09,East,Furniture,Sofa,4,330.0,0,1846.11,522.77,50,4.5,E-Wallet,Online
2023-01-10,West,Toys,Doll,2,41.71,25,87.47,18.45,45,3.9,E-Wallet,Online
2023-01-10,North,Clothing,Jacket,6,64.38,15,458.98,130.75,43,4.3,Credit Card,In-Store
2023-01-10,East,Clothing,T-Shirt,12,75.79,25,953.51,290.32,63,4.9,Credit Card,In-Store
2023-01-11,East,Furniture,Table,6,370.7,0,3107.61,739.95,39,3.2,Credit Card,Online
2023-01-11,North,Electronics,Smartphone,6,536.64,0,4498.77,1313.56,25,3.4,Credit Card,Online
2023-01-11,East,Toys,Doll,8,37.47,10,376.98,154.04,55,3.8,Cash,Online
2023-01-12,North,Clothing,Jeans,5,75.35,20,420.88,156.28,32,4.6,E-Wallet,Online
2023-01-12,North,Toys,Doll,2,33.95,0,94.81,25.28,36,4.1,Credit Card,Online
2023-01-13,Central,Clothing,T-Shirt,6,73.6,0,616.18,163.54,31,4.1,Bank Transfer,In-Store
2023-01-13,Central,Toys,Action Figure,8,38.56,0,430.47,87.49,27,3.2,Bank Transfer,In-Store
2023-01-13,West,Food,Bakery,4,20.67,20,92.3,27.07,32,4.9,E-Wallet,In-Store
2023-01-14,South,Clothing,Jacket,4,68.08,15,322.73,72.65,57,3.7,Bank Transfer,Online
2023-01-14,North,Toys,Doll,10,36.63,0,510.64,222.82,24,3.8,E-Wallet,Online
2023-01-14,West,Electronics,Smartphone,2,414.8,0,1156.65,356.76,51,4.2,Cash,Online
2023-01-15,South,Food,Snacks,7,23.83,10,209.09,46.01,18,5.0,E-Wallet,Online
